0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:00:56 +0530] "GET /LetzChat/Controller/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:00:56 +0530] "GET /LetzChat/lib/ng-file-upload-all.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:00:56 +0530] "GET /LetzChat/lib/upload.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:00:56 +0530] "GET /LetzChat/Controller/GroupService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:00:56 +0530] "GET /LetzChat/Controller/ChatController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:00:56 +0530] "GET /LetzChat/Controller/GroupController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:00:58 +0530] "GET /LetzChat/Chat/ChatHome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:00:58 +0530] "GET /LetzChat/Home/Header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:00:58 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:01:02 +0530] "GET /LetzChat/User/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:01:04 +0530] "GET /LetzChat/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:01:05 +0530] "GET /LetzChat/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:01:06 +0530] "GET /LetzChat/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:01:06 +0530] "GET /LetzChat/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:01:07 +0530] "GET /LetzChat/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:01:14 +0530] "GET /LetzChat/lib/BootStrap/bootstrap.min.css.map HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:01:16 +0530] "GET /LetzChat/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:01:17 +0530] "GET /LetzChat/lib/underscore-min.map HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:01:18 +0530] "GET /LetzChat/lib/BootStrap/bootstrap.min.css.map HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:01:21 +0530] "GET /LetzChat/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:01:23 +0530] "GET /LetzChat/lib/underscore-min.map HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:01:23 +0530] "GET /LetzChat/lib/BootStrap/bootstrap.min.css.map HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:02:11 +0530] "GET /LetzChat/User/Reg.html HTTP/1.1" 304 -
