127.0.0.1 - - [01/Aug/2017:15:34:58 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Aug/2017:15:35:01 +0530] "GET /LetzChat/ HTTP/1.1" 200 1441
0:0:0:0:0:0:0:1 - - [01/Aug/2017:15:35:02 +0530] "GET /LetzChat/app.js HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [01/Aug/2017:15:37:00 +0530] "GET /LetzChat/ HTTP/1.1" 200 1441
0:0:0:0:0:0:0:1 - - [01/Aug/2017:15:37:00 +0530] "GET /LetzChat/app.js HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [01/Aug/2017:15:37:23 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [01/Aug/2017:15:42:01 +0530] "GET /LetzChat/ HTTP/1.1" 200 1443
0:0:0:0:0:0:0:1 - - [01/Aug/2017:15:42:01 +0530] "GET /LetzChat/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:15:46:03 +0530] "GET /LetzChat/ HTTP/1.1" 200 1444
0:0:0:0:0:0:0:1 - - [01/Aug/2017:15:46:40 +0530] "GET /LetzChat/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:15:47:11 +0530] "GET /LetzChat/ HTTP/1.1" 200 1444
0:0:0:0:0:0:0:1 - - [01/Aug/2017:15:47:11 +0530] "GET /LetzChat/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:15:47:16 +0530] "GET /LetzChat/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:15:47:52 +0530] "GET /LetzChat/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:15:49:54 +0530] "GET /LetzChat/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:15:50:17 +0530] "GET /LetzChat/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:15:52:57 +0530] "GET /LetzChat/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:15:52:57 +0530] "GET /LetzChat/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:15:53:14 +0530] "GET /LetzChat/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:15:54:16 +0530] "GET /LetzChat/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:15:54:16 +0530] "GET /LetzChat/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:16:14:43 +0530] "GET /LetzChat/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:16:14:43 +0530] "GET /LetzChat/app.js HTTP/1.1" 304 -
